symbol,timestamp,open,high,low,close,volume,trade_count,vwap
JPM,2022-12-15 00:00:00-05:00,131.145,132.08,129.05,130.1,12090286.0,129004.0,130.212027
JPM,2022-12-16 00:00:00-05:00,129.15,129.9,128.425,129.29,21126401.0,119142.0,129.210582
JPM,2022-12-19 00:00:00-05:00,129.65,131.33,129.09,130.06,9017156.0,104669.0,130.09547
JPM,2022-12-20 00:00:00-05:00,130.97,132.05,130.2,130.69,8549927.0,102558.0,131.134444
JPM,2022-12-21 00:00:00-05:00,132.18,132.98,131.77,132.16,8051704.0,83512.0,132.254485
JPM,2022-12-22 00:00:00-05:00,131.1,131.3,128.41,130.66,8651131.0,104454.0,129.915881
JPM,2022-12-23 00:00:00-05:00,130.58,131.44,129.64,131.28,5090556.0,68897.0,130.94876
JPM,2022-12-27 00:00:00-05:00,131.57,132.22,130.55,131.74,5410991.0,65350.0,131.619705
JPM,2022-12-28 00:00:00-05:00,131.85,133.41,131.01,132.46,8827738.0,104647.0,132.312185
JPM,2022-12-29 00:00:00-05:00,132.93,133.27,132.31,133.22,6585228.0,82055.0,132.951483
JPM,2022-12-30 00:00:00-05:00,132.81,134.33,132.44,134.1,9290169.0,109603.0,133.682047
JPM,2023-01-03 00:00:00-05:00,135.24,136.74,133.89,135.12,11054778.0,115529.0,135.112385
JPM,2023-01-04 00:00:00-05:00,135.99,137.68,135.57,136.38,11687643.0,130573.0,136.490771
JPM,2023-01-05 00:00:00-05:00,135.66,135.71,133.7004,135.35,8381265.0,92590.0,134.988047
JPM,2023-01-06 00:00:00-05:00,136.125,138.38,134.49,137.94,10026820.0,115433.0,137.340419
JPM,2023-01-09 00:00:00-05:00,138.6,138.88,136.88,137.37,8482297.0,96203.0,137.72877
JPM,2023-01-10 00:00:00-05:00,137.79,138.72,137.31,138.6,9048665.0,91475.0,138.306171
JPM,2023-01-11 00:00:00-05:00,138.9,139.75,138.1,139.63,8703698.0,103942.0,139.239961
JPM,2023-01-12 00:00:00-05:00,140.0,140.86,139.22,139.49,11001666.0,125809.0,139.929957
JPM,2023-01-13 00:00:00-05:00,135.6,143.49,134.8,143.01,20195859.0,225760.0,140.726188
JPM,2023-01-17 00:00:00-05:00,141.17,141.54,139.225,140.8,14292881.0,154842.0,140.455994
JPM,2023-01-18 00:00:00-05:00,138.92,140.73,136.41,136.57,13392601.0,139268.0,137.738718
JPM,2023-01-19 00:00:00-05:00,135.32,135.9,133.59,134.75,13303371.0,132105.0,134.873415
JPM,2023-01-20 00:00:00-05:00,135.16,135.49,133.55,135.08,13074973.0,123520.0,134.761288
JPM,2023-01-23 00:00:00-05:00,135.115,137.96,134.82,137.27,10487128.0,113303.0,136.909346
JPM,2023-01-24 00:00:00-05:00,140.29,140.29,135.0,138.45,6944059.0,88842.0,138.366291
JPM,2023-01-25 00:00:00-05:00,138.05,139.12,137.25,139.12,8967007.0,92010.0,138.345324
JPM,2023-01-26 00:00:00-05:00,139.42,140.06,138.36,139.98,7487631.0,84753.0,139.506333
JPM,2023-01-27 00:00:00-05:00,140.61,141.255,139.7499,140.32,7488683.0,89915.0,140.526224
JPM,2023-01-30 00:00:00-05:00,139.23,140.09,138.91,139.13,6729255.0,79741.0,139.463396
JPM,2023-01-31 00:00:00-05:00,139.88,140.07,138.25,139.96,9188738.0,89806.0,139.332269
JPM,2023-02-01 00:00:00-05:00,138.21,140.875,138.12,139.59,8841846.0,115418.0,139.557063
JPM,2023-02-02 00:00:00-05:00,140.0,140.46,138.0,138.94,11822064.0,139145.0,139.070804
JPM,2023-02-03 00:00:00-05:00,138.18,142.33,138.13,141.09,11500427.0,130975.0,140.746541
JPM,2023-02-06 00:00:00-05:00,140.23,142.24,140.0313,141.92,8406231.0,90434.0,141.329518
JPM,2023-02-07 00:00:00-05:00,141.38,144.34,141.18,143.65,10447888.0,111846.0,143.040448
JPM,2023-02-08 00:00:00-05:00,142.65,144.04,142.2763,142.64,6957965.0,83611.0,143.063263
JPM,2023-02-09 00:00:00-05:00,143.12,143.34,139.87,140.42,6443109.0,75559.0,141.055645
JPM,2023-02-10 00:00:00-05:00,139.78,141.28,138.59,141.04,6576829.0,81746.0,140.458699
JPM,2023-02-13 00:00:00-05:00,141.3,142.73,140.74,142.57,7134607.0,87909.0,142.304333
JPM,2023-02-14 00:00:00-05:00,142.5,143.81,141.595,143.2,9249399.0,100801.0,143.0121
JPM,2023-02-15 00:00:00-05:00,141.61,143.89,141.3,143.8,6731172.0,77564.0,143.214717
JPM,2023-02-16 00:00:00-05:00,142.91,143.39,141.676,141.82,8165306.0,92229.0,142.32901
JPM,2023-02-17 00:00:00-05:00,140.98,142.83,140.07,142.24,7947714.0,89274.0,141.822033
JPM,2023-02-21 00:00:00-05:00,140.69,141.34,138.75,139.63,9996283.0,100452.0,139.690918
JPM,2023-02-22 00:00:00-05:00,138.92,139.43,137.435,138.56,11107501.0,107265.0,138.630831
JPM,2023-02-23 00:00:00-05:00,138.73,140.17,137.94,139.67,8068010.0,104005.0,139.291102
JPM,2023-02-24 00:00:00-05:00,139.11,141.36,138.93,140.93,9122992.0,112322.0,140.515901
JPM,2023-02-27 00:00:00-05:00,142.11,143.31,141.7201,142.16,10014654.0,113736.0,142.496417
JPM,2023-02-28 00:00:00-05:00,142.94,143.76,141.9001,143.35,11019757.0,111699.0,143.095203
JPM,2023-03-01 00:00:00-05:00,142.1,143.4583,141.8,142.55,7139155.0,93863.0,142.618475
JPM,2023-03-02 00:00:00-05:00,142.24,142.43,139.54,141.07,11107549.0,111259.0,140.749565
JPM,2023-03-03 00:00:00-05:00,141.51,143.74,141.08,143.66,9507751.0,104532.0,142.816089
JPM,2023-03-06 00:00:00-05:00,143.44,144.04,142.66,142.82,9261255.0,106793.0,143.234452
JPM,2023-03-07 00:00:00-05:00,142.01,142.31,137.81,138.62,11747620.0,145563.0,139.492852
JPM,2023-03-08 00:00:00-05:00,138.0,138.59,136.885,137.8,10002548.0,127387.0,137.726651
JPM,2023-03-09 00:00:00-05:00,136.76,137.35,129.215,130.34,25888097.0,275715.0,131.899472
JPM,2023-03-10 00:00:00-05:00,128.96,135.26,127.82,133.65,37575100.0,405839.0,132.573097
JPM,2023-03-13 00:00:00-04:00,131.21,133.88,129.41,131.25,42898539.0,457367.0,131.751179
JPM,2023-03-14 00:00:00-04:00,135.28,135.53,131.29,134.62,29648116.0,310301.0,133.238891
JPM,2023-03-15 00:00:00-04:00,130.98,130.99,126.73,128.26,34278300.0,351179.0,128.510253
JPM,2023-03-16 00:00:00-04:00,128.01,131.95,126.02,130.75,24570587.0,257377.0,129.7008
JPM,2023-03-17 00:00:00-04:00,128.38,128.48,125.45,125.81,38361594.0,273044.0,126.20526
JPM,2023-03-20 00:00:00-04:00,126.99,129.47,126.01,127.14,22875505.0,227511.0,127.34819
JPM,2023-03-21 00:00:00-04:00,130.59,131.73,130.19,130.55,17807808.0,182646.0,130.708104
JPM,2023-03-22 00:00:00-04:00,130.56,130.655,127.08,127.18,17250168.0,182015.0,128.906275
JPM,2023-03-23 00:00:00-04:00,127.9,129.53,126.02,126.84,16677640.0,183260.0,127.612016
JPM,2023-03-24 00:00:00-04:00,125.63,125.68,123.11,124.91,22310953.0,225210.0,124.49025
JPM,2023-03-27 00:00:00-04:00,126.79,129.38,126.29,128.49,18853935.0,188815.0,128.13551
JPM,2023-03-28 00:00:00-04:00,128.71,129.3417,127.744,128.88,10820466.0,109166.0,128.680652
JPM,2023-03-29 00:00:00-04:00,130.1,130.22,127.77,129.14,14595260.0,155476.0,129.075672
JPM,2023-03-30 00:00:00-04:00,129.95,130.12,127.65,128.75,12134675.0,135198.0,128.718894
JPM,2023-03-31 00:00:00-04:00,129.66,130.34,128.8514,130.31,13101213.0,125161.0,129.8574
JPM,2023-04-03 00:00:00-04:00,129.91,131.44,129.41,130.16,11775388.0,110541.0,130.237322
JPM,2023-04-04 00:00:00-04:00,130.5,130.59,127.41,128.42,11579916.0,125806.0,128.345734
JPM,2023-04-05 00:00:00-04:00,126.8,128.15,126.46,127.61,9614692.0,108910.0,127.498219
JPM,2023-04-06 00:00:00-04:00,127.0,128.08,126.8553,127.47,8760220.0,91161.0,127.557518
JPM,2023-04-10 00:00:00-04:00,126.54,128.23,126.22,127.89,9477292.0,107330.0,127.688991
JPM,2023-04-11 00:00:00-04:00,128.3,128.94,127.54,128.52,10516267.0,102143.0,128.342848
JPM,2023-04-12 00:00:00-04:00,129.18,130.43,128.0603,128.5,11820995.0,123128.0,128.889015
JPM,2023-04-13 00:00:00-04:00,128.46,129.04,126.83,128.99,12450242.0,136170.0,128.447181
JPM,2023-04-14 00:00:00-04:00,135.15,139.12,134.9001,138.73,43896508.0,431532.0,137.94404
JPM,2023-04-17 00:00:00-04:00,139.95,140.06,137.66,139.83,16050461.0,167777.0,139.090875
JPM,2023-04-18 00:00:00-04:00,140.27,141.78,139.03,141.4,13760139.0,159515.0,140.917182
JPM,2023-04-19 00:00:00-04:00,141.23,141.5,140.4,141.22,9158112.0,114120.0,141.055377
JPM,2023-04-20 00:00:00-04:00,139.91,141.43,139.84,140.81,10586245.0,122588.0,140.799515
JPM,2023-04-21 00:00:00-04:00,139.74,141.11,138.78,140.54,11839352.0,117544.0,140.266684
JPM,2023-04-24 00:00:00-04:00,140.455,141.1,140.04,140.73,7567666.0,87803.0,140.54227
JPM,2023-04-25 00:00:00-04:00,139.6,139.96,137.625,137.67,10629325.0,120681.0,138.42703
JPM,2023-04-26 00:00:00-04:00,137.62,137.8093,134.0,135.23,14416145.0,161445.0,135.559626
JPM,2023-04-27 00:00:00-04:00,136.0,137.91,135.66,137.05,9041092.0,107609.0,136.994254
JPM,2023-04-28 00:00:00-04:00,136.56,138.32,135.67,138.24,9881795.0,101957.0,137.779917
JPM,2023-05-01 00:00:00-04:00,142.26,143.37,140.83,141.2,20415762.0,225188.0,141.926079
JPM,2023-05-02 00:00:00-04:00,141.4,142.41,138.43,138.92,14113447.0,178193.0,139.418343
JPM,2023-05-03 00:00:00-04:00,138.44,138.6687,135.76,135.98,12930906.0,156264.0,137.01526
JPM,2023-05-04 00:00:00-04:00,134.96,135.72,131.81,134.12,17089164.0,204069.0,133.616646
JPM,2023-05-05 00:00:00-04:00,136.44,137.88,135.912,136.74,11258909.0,130431.0,136.708451
JPM,2023-05-08 00:00:00-04:00,137.49,137.97,136.475,137.07,7484872.0,88659.0,137.134653
JPM,2023-05-09 00:00:00-04:00,135.93,136.95,135.21,136.41,7343573.0,92721.0,136.224948
JPM,2023-05-10 00:00:00-04:00,137.95,138.06,134.87,136.48,8133416.0,92922.0,136.209063
JPM,2023-05-11 00:00:00-04:00,135.0,136.81,134.9,136.05,7057277.0,89121.0,135.958294
JPM,2023-05-12 00:00:00-04:00,136.82,136.99,133.13,134.1,9986366.0,113833.0,134.158314
JPM,2023-05-15 00:00:00-04:00,134.27,135.67,133.96,135.23,7639451.0,94388.0,134.889653
JPM,2023-05-16 00:00:00-04:00,135.46,135.9382,133.96,134.32,6483267.0,82350.0,134.566514
JPM,2023-05-17 00:00:00-04:00,135.9,138.5899,135.46,138.45,12711522.0,135086.0,137.645353
JPM,2023-05-18 00:00:00-04:00,138.27,139.73,137.76,139.5,10999607.0,121703.0,138.738746
JPM,2023-05-19 00:00:00-04:00,139.79,140.49,138.125,139.18,13490495.0,135770.0,139.360398
JPM,2023-05-22 00:00:00-04:00,141.0,141.64,137.66,138.03,11402476.0,144986.0,138.832998
JPM,2023-05-23 00:00:00-04:00,137.54,139.03,136.455,136.59,9514897.0,121265.0,137.383723
JPM,2023-05-24 00:00:00-04:00,135.4,136.35,135.08,135.34,8577997.0,102229.0,135.471441
JPM,2023-05-25 00:00:00-04:00,134.82,136.27,134.58,135.67,8472505.0,100099.0,135.473124
JPM,2023-05-26 00:00:00-04:00,136.11,137.6,135.63,136.94,8576698.0,96276.0,136.872839
JPM,2023-05-30 00:00:00-04:00,136.8,137.72,136.02,137.46,7399867.0,106370.0,137.079284
JPM,2023-05-31 00:00:00-04:00,136.73,136.84,134.4044,135.71,14219906.0,124522.0,135.413504
JPM,2023-06-01 00:00:00-04:00,136.52,138.23,135.445,137.58,12248095.0,122658.0,137.301092
JPM,2023-06-02 00:00:00-04:00,139.56,141.48,139.34,140.47,12922471.0,146474.0,140.683519
JPM,2023-06-05 00:00:00-04:00,140.11,140.34,138.13,139.09,9542980.0,123995.0,138.890953
JPM,2023-06-06 00:00:00-04:00,138.68,140.1,138.2066,139.34,9329543.0,114192.0,139.285765
JPM,2023-06-07 00:00:00-04:00,139.55,141.27,138.83,140.69,9281391.0,107788.0,140.372015
JPM,2023-06-08 00:00:00-04:00,140.67,140.89,139.4807,140.73,7370044.0,93069.0,140.349108
JPM,2023-06-09 00:00:00-04:00,140.35,141.8,140.21,141.01,7253947.0,99028.0,141.073808
JPM,2023-06-12 00:00:00-04:00,141.07,141.32,139.76,141.0,7600196.0,95387.0,140.747883
JPM,2023-06-13 00:00:00-04:00,140.48,142.87,140.14,142.02,7701567.0,105698.0,142.063867
JPM,2023-06-14 00:00:00-04:00,143.0,143.61,140.7,141.49,9068730.0,121460.0,141.73523
JPM,2023-06-15 00:00:00-04:00,140.59,143.4,140.03,143.09,9343097.0,110685.0,142.446579
JPM,2023-06-16 00:00:00-04:00,143.05,143.965,142.5,143.26,13813512.0,106348.0,143.256002
JPM,2023-06-20 00:00:00-04:00,142.61,143.0,141.04,142.53,8431009.0,97673.0,142.330835
JPM,2023-06-21 00:00:00-04:00,142.9,144.02,141.691,142.32,9926459.0,113084.0,142.77012
JPM,2023-06-22 00:00:00-04:00,142.31,142.6,138.95,139.58,10076326.0,113865.0,140.086636
JPM,2023-06-23 00:00:00-04:00,138.54,139.18,137.62,138.85,9961312.0,96365.0,138.780253
JPM,2023-06-26 00:00:00-04:00,138.87,140.01,137.69,139.19,8429728.0,100374.0,138.977588
JPM,2023-06-27 00:00:00-04:00,139.0,139.84,138.54,139.2,8154026.0,98250.0,139.181149
JPM,2023-06-28 00:00:00-04:00,139.16,139.21,137.96,138.59,7558645.0,90806.0,138.567917
JPM,2023-06-29 00:00:00-04:00,140.07,143.56,139.85,143.43,15423231.0,158242.0,142.704159
JPM,2023-06-30 00:00:00-04:00,144.6,146.0,143.66,145.44,13984210.0,146164.0,145.172049
JPM,2023-07-03 00:00:00-04:00,146.21,147.48,146.0,146.61,7989800.0,89992.0,146.700903
JPM,2023-07-05 00:00:00-04:00,144.94,145.43,144.36,144.64,8935519.0,117804.0,144.83604
JPM,2023-07-06 00:00:00-04:00,143.02,143.39,141.4401,143.21,9714101.0,123979.0,142.652998
JPM,2023-07-07 00:00:00-04:00,143.91,145.8436,143.0,144.34,8981458.0,113163.0,144.78714
JPM,2023-07-10 00:00:00-04:00,144.5,145.99,144.5,145.15,9100062.0,109922.0,145.172636
