series_id,year,period,value,footnote_codes
PCU2121--2121--               ,1988,M13,94.6,
PCU2121--2121--               ,1989,M01,93.8,
PCU2121--2121--               ,1989,M02,93,
PCU2121--2121--               ,1989,M03,92.9,
PCU2121--2121--               ,1989,M04,93.4,
PCU2121--2121--               ,1989,M05,93.9,
PCU2121--2121--               ,1989,M06,94,
PCU2121--2121--               ,1989,M07,94.7,
PCU2121--2121--               ,1989,M08,94.9,
PCU2121--2121--               ,1989,M09,94.7,
PCU2121--2121--               ,1989,M10,95.1,
PCU2121--2121--               ,1989,M11,96.1,
PCU2121--2121--               ,1989,M12,95.6,
PCU2121--2121--               ,1989,M13,94.3,
PCU2121--2121--               ,1990,M01,95.6,
PCU2121--2121--               ,1990,M02,95.2,
PCU2121--2121--               ,1990,M03,95.4,
PCU2121--2121--               ,1990,M04,96,
PCU2121--2121--               ,1990,M05,97,
PCU2121--2121--               ,1990,M06,97,
PCU2121--2121--               ,1990,M07,96.9,
PCU2121--2121--               ,1990,M08,96.1,
PCU2121--2121--               ,1990,M09,96.7,
PCU2121--2121--               ,1990,M10,97,
PCU2121--2121--               ,1990,M11,98.1,
PCU2121--2121--               ,1990,M12,96.8,
PCU2121--2121--               ,1990,M13,96.5,
PCU2121--2121--               ,1991,M01,97.5,
PCU2121--2121--               ,1991,M02,97,
PCU2121--2121--               ,1991,M03,96.7,
PCU2121--2121--               ,1991,M04,96.4,
PCU2121--2121--               ,1991,M05,96.3,
PCU2121--2121--               ,1991,M06,97.2,
PCU2121--2121--               ,1991,M07,96.3,
PCU2121--2121--               ,1991,M08,95.6,
PCU2121--2121--               ,1991,M09,95.6,
PCU2121--2121--               ,1991,M10,95.2,
PCU2121--2121--               ,1991,M11,96.2,
PCU2121--2121--               ,1991,M12,95.4,
PCU2121--2121--               ,1991,M13,96.3,
PCU2121--2121--               ,1992,M01,93.6,
PCU2121--2121--               ,1992,M02,93.8,
PCU2121--2121--               ,1992,M03,93.6,
PCU2121--2121--               ,1992,M04,94.1,
PCU2121--2121--               ,1992,M05,94.7,
PCU2121--2121--               ,1992,M06,94.4,
PCU2121--2121--               ,1992,M07,94.2,
PCU2121--2121--               ,1992,M08,94.2,
PCU2121--2121--               ,1992,M09,93.6,
PCU2121--2121--               ,1992,M10,93.9,
PCU2121--2121--               ,1992,M11,93.7,
PCU2121--2121--               ,1992,M12,94.1,
PCU2121--2121--               ,1992,M13,94,
PCU2121--2121--               ,1993,M01,93,
PCU2121--2121--               ,1993,M02,93.4,
PCU2121--2121--               ,1993,M03,93.2,
PCU2121--2121--               ,1993,M04,92.9,
PCU2121--2121--               ,1993,M05,92.7,
PCU2121--2121--               ,1993,M06,93.1,
PCU2121--2121--               ,1993,M07,92.9,
PCU2121--2121--               ,1993,M08,93.1,
PCU2121--2121--               ,1993,M09,93.2,
PCU2121--2121--               ,1993,M10,94.4,
PCU2121--2121--               ,1993,M11,94.1,
PCU2121--2121--               ,1993,M12,94,
PCU2121--2121--               ,1993,M13,93.3,
PCU2121--2121--               ,1994,M01,93.8,
PCU2121--2121--               ,1994,M02,92.5,
PCU2121--2121--               ,1994,M03,92.6,
PCU2121--2121--               ,1994,M04,93,
PCU2121--2121--               ,1994,M05,93.2,
PCU2121--2121--               ,1994,M06,92,
PCU2121--2121--               ,1994,M07,92.1,
PCU2121--2121--               ,1994,M08,92.7,
PCU2121--2121--               ,1994,M09,94.3,
PCU2121--2121--               ,1994,M10,95,
PCU2121--2121--               ,1994,M11,94.9,
PCU2121--2121--               ,1994,M12,92,
PCU2121--2121--               ,1994,M13,93.2,
PCU2121--2121--               ,1995,M01,88.4,
PCU2121--2121--               ,1995,M02,91.3,
PCU2121--2121--               ,1995,M03,93.7,
PCU2121--2121--               ,1995,M04,92.6,
PCU2121--2121--               ,1995,M05,90.4,
PCU2121--2121--               ,1995,M06,90.7,
PCU2121--2121--               ,1995,M07,92.5,
PCU2121--2121--               ,1995,M08,91.8,
PCU2121--2121--               ,1995,M09,91.7,
PCU2121--2121--               ,1995,M10,93,
PCU2121--2121--               ,1995,M11,91.4,
PCU2121--2121--               ,1995,M12,91.3,
PCU2121--2121--               ,1995,M13,91.6,
PCU2121--2121--               ,1996,M01,89.9,
PCU2121--2121--               ,1996,M02,91.9,
PCU2121--2121--               ,1996,M03,92.2,
PCU2121--2121--               ,1996,M04,91.1,
PCU2121--2121--               ,1996,M05,93.1,
PCU2121--2121--               ,1996,M06,91.7,
PCU2121--2121--               ,1996,M07,90.5,
